ip,time,expired,referrer_url,click_state,t1,t2,t3,conv,conv2,conv3
75.132.188.9,2018-01-08 00:18:58,,"http://api.jobadx.com/aclk?ai=91a97a7e-7e58-4be2-a40e-104ec75314b3&utoken=362ff00b-5f24-41d7-8882-beaf7958925b&vistoken=88e2baa6-5878-432f-b811-bedbc3aee716",MO,,,,,,
70.113.105.218,2018-01-08 00:52:50,,"http://api.jobadx.com/aclk?ai=15604a99-df41-421d-9da8-bc8facbf2055&utoken=35eebb79-61c8-4de5-9710-8e7ba37a38ce&vistoken=0db411f0-946f-45e0-b26c-04c70dd78db1",TX,,,,,,
70.195.66.31,2018-01-08 00:54:38,,"",MO,,,,,,
47.144.112.9,2018-01-08 01:14:08,,"http://api.jobadx.com/aclk?ai=f9e1e0e3-7def-4724-8506-0438cc32b0fa&utoken=f0a58fe3-e431-4f06-952a-89d230362a5c&vistoken=cee6db6a-0a4a-492f-839b-445e1c113b56",CA,,,,,,
172.58.4.39,2018-01-08 01:17:57,,"http://api.jobadx.com/aclk?ai=5085cd76-1df6-4666-a683-74bc2c37ae58&utoken=16b4b831-0a68-40ee-9f11-298f5fda92e4&vistoken=ce7ba0b1-fe61-4287-b732-82f6b033d26b",GA,,,,,,
72.202.191.20,2018-01-08 01:22:10,,"http://api.jobadx.com/aclk?ai=e1c640fa-0d24-490d-82a3-53561ab77250&utoken=69e8cdf6-4318-4601-b906-7ef899c496c6&vistoken=c2c55ef9-064c-4448-92b4-846417ad9406",OK,,,,,,
63.248.141.92,2018-01-08 01:31:43,,"http://api.jobadx.com/aclk?ai=38cdd426-18f2-40b4-863b-43d5dc60d0a2&utoken=25635114-920e-4a7d-bb15-66c45f623867&vistoken=e355e95c-d766-414f-b048-47d5cc3de18b",UT,,,,,,
98.229.100.237,2018-01-08 01:36:48,,"http://api.jobadx.com/aclk?ai=c9a58b4c-0167-4671-bb00-b91a1b2c31a8&utoken=87e7e08c-b3c9-40dd-8c23-e287c38efc46&vistoken=a5366be1-c44a-4baf-86df-66773a87f92b",CT,,,,,,
64.251.40.242,2018-01-08 01:50:31,,"http://api.jobadx.com/aclk?ai=ae1384fe-1f2f-4ddb-8cfe-f9725d3fae5b&utoken=10032c0d-a737-4055-9688-cd4a1a9a1c7a&vistoken=dbd2151e-2208-49ee-85f6-5c92e2599c11",NY,,,,,,
72.223.99.24,2018-01-08 01:53:59,,"http://api.jobadx.com/aclk?ai=097aef54-8dc1-4767-9648-037904753f26&utoken=b3b22017-ef17-4329-a36e-22ef3f8d4ded&vistoken=109de97a-d6b8-499e-955d-3ee9d0ad5f0e",AZ,,,,,,
